,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol,date
1697,1625961600,34246.9,34612.1,33335.1,33522.2,1476.82,50199135.37,force_direct,,2021-07-11
1698,1626048000,33107.3,34665.7,32678.0,34246.9,2411.82,80905480.16,force_direct,,2021-07-12
1699,1626134400,32722.9,33340.7,32204.0,33107.3,2831.08,92666243.99,force_direct,,2021-07-13
1700,1626220800,32815.2,33114.5,31555.6,32722.9,3406.34,110129482.84,force_direct,,2021-07-14
1701,1626307200,31832.6,33188.3,31150.1,32815.2,3350.04,107044544.49,force_direct,,2021-07-15
1702,1626393600,31405.9,32250.0,31050.0,31832.6,3545.77,112523536.06,force_direct,,2021-07-16
1703,1626480000,31510.0,31934.4,31175.2,31405.9,2493.58,78725247.91,force_direct,,2021-07-17
1704,1626566400,31780.1,32440.4,31133.4,31510.0,1750.64,55480209.86,force_direct,,2021-07-18
1705,1626652800,30820.5,31894.6,30415.1,31780.1,3015.02,93471464.96,force_direct,,2021-07-19
1706,1626739200,29788.1,31065.9,29288.6,30820.5,4981.12,148316454.41,force_direct,,2021-07-20
1707,1626825600,32125.0,32844.4,29505.0,29788.1,5662.45,177894703.86,force_direct,,2021-07-21
1708,1626912000,32283.3,32607.9,31722.4,32125.0,2665.93,85786311.58,force_direct,,2021-07-22
1709,1626998400,33639.0,33639.0,32015.1,32283.3,2340.25,76215085.8,force_direct,,2021-07-23
1710,1627084800,34284.6,34525.9,33431.8,33639.0,1796.6,60909497.18,force_direct,,2021-07-24
1711,1627171200,35413.6,35436.0,33869.9,34284.6,2190.29,75624131.09,force_direct,,2021-07-25
1712,1627257600,37274.9,40533.0,35254.9,35413.6,10290.16,394365714.45,force_direct,,2021-07-26
1713,1627344000,39506.2,39524.3,36406.8,37274.9,5033.91,190719581.84,force_direct,,2021-07-27
1714,1627430400,40011.0,40919.1,38805.0,39506.2,7225.18,288197599.66,force_direct,,2021-07-28
1715,1627516800,40000.0,40625.0,39267.2,40011.0,3197.1,127465849.44,force_direct,,2021-07-29
1716,1627603200,42229.6,42306.8,38345.1,40000.0,5116.82,205162428.5,force_direct,,2021-07-30
1717,1627689600,41488.5,42400.0,41060.9,42229.6,2953.69,123157523.08,force_direct,,2021-07-31
1718,1627776000,39889.1,42598.7,39413.5,41488.5,3446.98,142242729.93,force_direct,,2021-08-01
1719,1627862400,39152.3,40440.8,38700.0,39889.1,3504.71,138624737.74,force_direct,,2021-08-02
1720,1627948800,38163.0,39791.1,37655.0,39152.3,2952.97,113443677.07,force_direct,,2021-08-03
1721,1628035200,39749.0,39950.0,37527.9,38163.0,3280.1,127695680.11,force_direct,,2021-08-04
1722,1628121600,40886.4,41403.5,37355.0,39749.0,4722.99,185938324.73,force_direct,,2021-08-05
1723,1628208000,42823.9,43401.9,39900.0,40886.4,5187.36,216802175.17,force_direct,,2021-08-06
1724,1628294400,44610.7,44721.8,42495.0,42823.9,4617.87,201368117.52,force_direct,,2021-08-07
1725,1628380800,43845.6,45348.0,43320.0,44610.7,3667.29,162501911.52,force_direct,,2021-08-08
1726,1628467200,46307.1,46484.1,42827.7,43845.6,5654.1,256059040.07,force_direct,,2021-08-09
1727,1628553600,45595.1,46688.0,44666.0,46307.1,3102.04,141296815.21,force_direct,,2021-08-10
1728,1628640000,45571.7,46736.4,45373.5,45595.1,3504.53,161638000.33,force_direct,,2021-08-11
1729,1628726400,44401.1,46195.4,43800.1,45571.7,3570.43,159897894.05,force_direct,,2021-08-12
1730,1628812800,47823.3,47898.5,44251.2,44401.1,3816.15,177432592.61,force_direct,,2021-08-13
1731,1628899200,47115.2,48164.0,46042.5,47823.3,2970.2,139626786.51,force_direct,,2021-08-14
1732,1628985600,47019.3,47385.0,45550.0,47115.2,2101.36,97439093.96,force_direct,,2021-08-15
1733,1629072000,45926.3,48072.6,45697.4,47019.3,2739.39,128109376.47,force_direct,,2021-08-16
1734,1629158400,44672.2,47172.3,44401.2,45926.3,3292.64,150943806.07,force_direct,,2021-08-17
1735,1629244800,44714.7,46000.0,44250.0,44672.2,3213.18,145259075.81,force_direct,,2021-08-18
1736,1629331200,46765.3,47062.2,44000.0,44714.7,2627.68,119528261.14,force_direct,,2021-08-19
1737,1629417600,49345.4,49400.0,46662.9,46765.3,3541.23,170411586.5,force_direct,,2021-08-20
1738,1629504000,48865.4,49790.0,48267.6,49345.4,2697.48,132171321.18,force_direct,,2021-08-21
1739,1629590400,49293.6,49532.3,48058.1,48865.4,1740.18,84942814.39,force_direct,,2021-08-22
1740,1629676800,49517.3,50500.0,49060.0,49293.6,3119.26,155513393.64,force_direct,,2021-08-23
1741,1629763200,47725.4,49867.0,47601.1,49517.3,3149.29,153509949.12,force_direct,,2021-08-24
1742,1629849600,48991.3,49245.0,47146.3,47725.4,2613.92,126148037.0,force_direct,,2021-08-25
1743,1629936000,46848.9,49350.0,46284.8,48991.3,3194.86,151065424.4,force_direct,,2021-08-26
1744,1630022400,49074.9,49174.9,46386.4,46848.9,2672.65,127783962.59,force_direct,,2021-08-27
1745,1630108800,48895.7,49314.0,48393.9,49074.9,1300.72,63544757.29,force_direct,,2021-08-28
1746,1630195200,48787.7,49653.9,47800.0,48895.7,2232.52,108715618.0,force_direct,,2021-08-29
1747,1630281600,46985.7,48900.0,46861.6,48787.7,2528.08,121211226.48,force_direct,,2021-08-30
1748,1630368000,47140.0,48248.0,46715.0,46985.7,2213.75,104749026.67,force_direct,,2021-08-31
1749,1630454400,48872.2,49137.3,46550.0,47140.0,2575.08,123447541.38,force_direct,,2021-09-01
1750,1630540800,49290.3,50372.9,48622.0,48872.2,3436.66,170628810.32,force_direct,,2021-09-02
1751,1630627200,50018.6,51009.7,48356.0,49290.3,3628.82,181647824.5,force_direct,,2021-09-03
1752,1630713600,49956.1,50559.5,49363.6,50018.6,1604.32,80214657.36,force_direct,,2021-09-04
1753,1630800000,51767.9,51890.9,49512.4,49956.1,1807.73,91918977.21,force_direct,,2021-09-05
1754,1630886400,52688.3,52800.0,51025.5,51767.9,2979.39,154396484.88,force_direct,,2021-09-06
1755,1630972800,46882.1,52900.0,42000.0,52688.3,8797.55,424458970.64,force_direct,,2021-09-07
1756,1631059200,46073.4,47362.4,44444.0,46882.1,3486.87,160647803.51,force_direct,,2021-09-08
1757,1631145600,46389.6,47399.0,45498.7,46073.4,2328.77,108215601.73,force_direct,,2021-09-09
1758,1631232000,44842.2,47035.8,44135.2,46389.6,3303.07,150484065.82,force_direct,,2021-09-10
1759,1631318400,45137.4,45992.4,44741.0,44842.2,1239.97,56197736.75,force_direct,,2021-09-11
1760,1631404800,46061.3,46487.9,44770.0,45137.4,1202.07,54896318.38,force_direct,,2021-09-12
1761,1631491200,44965.8,46879.0,43374.9,46061.3,3673.52,164702747.59,force_direct,,2021-09-13
1762,1631577600,47145.9,47260.0,44700.0,44965.8,2114.13,97858392.61,force_direct,,2021-09-14
1763,1631664000,48152.3,48481.0,46744.0,47145.9,2160.4,103153717.19,force_direct,,2021-09-15
1764,1631750400,47786.9,48485.8,47030.1,48152.3,2372.97,113387291.29,force_direct,,2021-09-16
1765,1631836800,47269.7,48185.9,46745.7,47786.9,2007.84,95328529.41,force_direct,,2021-09-17
1766,1631923200,48309.9,48800.0,47077.9,47269.7,1277.08,61559271.83,force_direct,,2021-09-18
1767,1632009600,47237.8,48379.1,46851.2,48309.9,1219.51,58028737.28,force_direct,,2021-09-19
1768,1632096000,42992.9,47307.7,42510.0,47237.8,5755.79,254776035.54,force_direct,,2021-09-20
1769,1632182400,40710.6,43624.7,39579.0,42992.9,7261.15,303589870.11,force_direct,,2021-09-21
1770,1632268800,43562.8,44024.2,40600.0,40710.6,3503.54,149510099.17,force_direct,,2021-09-22
1771,1632355200,44889.8,45000.0,43111.6,43562.8,4176.71,184314961.46,force_direct,,2021-09-23
1772,1632441600,42833.2,45153.0,40750.0,44889.8,4412.38,188228911.59,force_direct,,2021-09-24
1773,1632528000,42710.1,43021.7,41705.1,42833.2,1058.57,45011535.43,force_direct,,2021-09-25
1774,1632614400,43204.6,43930.4,40802.7,42710.1,2250.76,96157334.83,force_direct,,2021-09-26
